"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"连接错误应触发重试","12","test_retry_on_connection_error","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientRetry","test_http_client","",""
"get_logger 返回 Logger 实例","1","test_get_logger_returns_logger","tests.unit","2026-07-16","passed","2026-07-16","TestLogger","test_logger","",""
"特殊字段 __is_list","1","test_special_field_is_list","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"","0","test_invalid_json_fallback_to_string","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderAutoConvert","test_data_reader","",""
"UI Base URL 正确加载","0","test_ui_base_url","tests.unit","2026-07-16","passed","2026-07-16","TestConfigLoaderProperties","test_config_loader","",""
"","0","test_json_object","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderAutoConvert","test_data_reader","",""
"","1","test_get_non_dict_intermediate","tests.unit","2026-07-16","passed","2026-07-16","TestConfigLoaderGet","test_config_loader","",""
"","0","test_strip_whitespace","tests.unit","2026-07-16","passed","2026-07-16","TestParserCSV","test_web_platform","",""
"reload 不应抛出异常","7","test_reload_does_not_raise","tests.unit","2026-07-16","passed","2026-07-16","TestConfigLoaderReload","test_config_loader","",""
"","12","test_xlsx_skips_all_none_row","tests.unit","2026-07-16","passed","2026-07-16","TestParserXLSX","test_web_platform","",""
"","1","test_should_retry_429","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientShouldRetry","test_http_client","",""
"","1","test_options","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientMethods","test_http_client","",""
"","1","test_should_retry_500","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientShouldRetry","test_http_client","",""
"","22","test_parse_basic_xlsx","tests.unit","2026-07-16","passed","2026-07-16","TestParserXLSX","test_web_platform","",""
"","0","test_max_ms_fail","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerAssert","test_web_platform","",""
"","0","test_some_fail","tests.unit","2026-07-16","passed","2026-07-16","TestSoftAssertions","test_data_driven","",""
"数字应自动转换","0","test_csv_auto_convert_numbers","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderCSV","test_data_reader","",""
"","1","test_detect_simple_format","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderDetectFormat","test_data_reader","",""
"","0","test_relative_path_joined","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerBuildRequest","test_web_platform","",""
"非可重试异常应直接抛出","1","test_non_retryable_exception","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientRetry","test_http_client","",""
"","1","test_custom_init","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientInit","test_http_client","",""
"","1","test_list_index_dot","tests.unit","2026-07-16","passed","2026-07-16","TestGetNested","test_utils","",""
"","1","test_integer","tests.unit","2026-07-16","passed","2026-07-16","TestDataReaderAutoConvert","test_data_reader","",""
"","0","test_invalid_index_returns_none","tests.unit","2026-07-16","passed","2026-07-16","TestGetNested","test_utils","",""
"","0","test_all_fail","tests.unit","2026-07-16","passed","2026-07-16","TestSoftAssertions","test_data_driven","",""
"","1","test_headers_merged","tests.unit","2026-07-16","passed","2026-07-16","TestRunnerBuildRequest","test_web_platform","",""
"默认环境为 test","1","test_env_is_test","tests.unit","2026-07-16","passed","2026-07-16","TestConfigLoaderProperties","test_config_loader","",""
"__list_min 不足","1","test_special_field_list_min_fail","tests.unit","2026-07-16","passed","2026-07-16","TestDDTAssertion","test_data_driven","",""
"","2","test_head","tests.unit","2026-07-16","passed","2026-07-16","TestHttpClientMethods","test_http_client","",""
